Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
RNAA.SG01NAC34B0101AA1,2000.03,327,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2001.03,459,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2002.03,510,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2003.03,334,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2004.03,372,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2005.03,356,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2006.03,276,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2007.03,336,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2008.03,512,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2009.03,368,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2010.03,414,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2011.03,538,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2012.03,505,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2013.03,432,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2014.03,628,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2015.03,404,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2016.03,409,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2017.03,584,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2018.03,654,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2019.03,605,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2020.03,663,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2021.03,675,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2022.03,776,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AA1,2023.03,646,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Agriculture,,,Dollars,6
RNAA.SG01NAC34B0101AB1,2000.03,166,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2001.03,178,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2002.03,199,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2003.03,195,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2004.03,150,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2005.03,144,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2006.03,164,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2007.03,177,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2008.03,162,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2009.03,168,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2010.03,196,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2011.03,215,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2012.03,223,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2013.03,216,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2014.03,245,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2015.03,234,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2016.03,273,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2017.03,308,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2018.03,348,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2019.03,354,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2020.03,299,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2021.03,317,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2022.03,336,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101AB1,2023.03,325,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, and Mining",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2000.03,213,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2001.03,232,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2002.03,243,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2003.03,247,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2004.03,212,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2005.03,212,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2006.03,241,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2007.03,270,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2008.03,269,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2009.03,284,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2010.03,308,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2011.03,356,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2012.03,374,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2013.03,386,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2014.03,419,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2015.03,402,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2016.03,446,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2017.03,496,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2018.03,540,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2019.03,564,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2020.03,519,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2021.03,520,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2022.03,577,REVISED,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101ABD,2023.03,580,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,,Dollars,6
RNAA.SG01NAC34B0101CCA,2000.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2001.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2002.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2003.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2004.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2005.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2006.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2007.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2008.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2009.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2010.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2011.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2012.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2013.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2014.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2015.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2016.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2017.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2018.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2019.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2020.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2021.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2022.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCA,2023.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Primary Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2000.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2001.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2002.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2003.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2004.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2005.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2006.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2007.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2008.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2009.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2010.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2011.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2012.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2013.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2014.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2015.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2016.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2017.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2018.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2019.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2020.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2021.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2022.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCC,2023.03,,CONFIDENTIAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Other Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2000.03,410,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2001.03,464,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2002.03,506,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2003.03,490,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2004.03,491,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2005.03,611,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2006.03,797,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2007.03,844,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2008.03,728,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2009.03,863,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
RNAA.SG01NAC34B0101CCZ,2010.03,519,FINAL,"Gross domestic product, by region and industry",Regional Gross Domestic Product - RNA,Gross Domestic Product - production measure,Northland,Manufacturing,,,Dollars,6
